Id,Sale_Prediction
1461,112815.12945577007
1462,150315.15869978713
1463,163651.90741277026
1464,180454.04530518426
1465,191704.42142859928
1466,163694.36448044548
1467,169314.32826555087
1468,155734.53788053303
1469,201002.45924612996
1470,106836.78953085135
1471,176896.07471203717
1472,98772.65489075586
1473,91185.42484963386
1474,135840.55738198807
1475,103508.27345834083
1476,354144.9500085845
1477,248626.17881163198
1478,324381.61045026686
1479,312069.8643217603
1480,454453.639074226
1481,307423.5780661636
1482,217095.8532613444
1483,171614.1027568485
1484,164088.37367816566
1485,190882.03930390737
1486,195110.58237467543
1487,325295.3082846131
1488,236275.60494143137
1489,184737.04780480528
1490,240003.77219467793
1491,203067.0435168221
1492,88115.87633680145
1493,209931.36256483314
1494,295018.732006666
1495,281782.0050335688
1496,229215.7792338673
1497,169613.7212880619
1498,156212.65060800815
1499,152692.99268350634
1500,149171.22675574908
1501,190864.27095354255
1502,142115.68824235874
1503,262089.34219308948
1504,234429.10320321633
1505,217470.39913968559
1506,191809.56032157416
1507,238214.57384689956
1508,181925.57990508532
1509,156047.36162749297
1510,146430.25937719288
1511,142009.65504344314
1512,175997.49976565523
1513,158169.77006528503
1514,151916.48568826896
1515,197677.87160168897
1516,159520.19344466567
1517,165793.1836917185
1518,116210.9784308522
1519,216775.2091495964
1520,122144.71602407534
1521,123242.77093747052
1522,194692.203500598
1523,90743.80341169809
1524,111828.9526836965
1525,103552.02079105255
1526,97271.13356814889
1527,87099.50183289191
1528,137867.04923456765
1529,141540.55583063548
1530,212330.6313236194
1531,135154.61066515488
1532,97511.25947271247
1533,149442.91238452625
1534,120588.86608390356
1535,147933.68661218407
1536,94457.58136872703
1537,34307.216669367306
1538,161618.03059040775
1539,200116.01632032805
1540,123848.1997590005
1541,125982.41812541727
1542,142632.5840390544
1543,170674.43081184942
1544,87902.46573555673
1545,125018.6421756713
1546,137477.03740978407
1547,140250.8863343782
1548,135753.56730995947
1549,110396.33953687767
1550,135422.11642509143
1551,109721.50492442462
1552,138343.00535548045
1553,150016.17779240443
1554,115992.49402247038
1555,160180.52687653172
1556,76278.78136090768
1557,92364.37355560497
1558,91969.0901329961
1559,86198.05917011971
1560,126727.86115246994
1561,111163.86187360517
1562,127648.55386677879
1563,115233.93702214026
1564,141603.1979233381
1565,143118.42562953455
1566,244804.7361440915
1567,69184.54628295846
1568,226020.97673789228
1569,102474.89466859974
1570,136514.6753128292
1571,100898.42002727634
1572,133984.585211868
1573,235459.28875970174
1574,117339.27868260807
1575,242765.79861203133
1576,235090.75496623796
1577,180589.56855542216
1578,132184.85690743822
1579,123550.63955707375
1580,185046.08483654054
1581,154700.55066397757
1582,129323.10240888727
1583,277366.79761130566
1584,221168.65955242226
1585,144604.19600166986
1586,38719.46087607788
1587,109979.32580869271
1588,160130.07446814352
1589,100867.98722046099
1590,125997.39645212675
