Id,Sale_Prediction
1461,110668.0
1462,148442.0
1463,174992.0
1464,179204.0
1465,192472.0
1466,175392.0
1467,183284.0
1468,164456.0
1469,214856.0
1470,111156.0
1471,182124.0
1472,98128.0
1473,90952.0
1474,143360.0
1475,117468.0
1476,360522.0
1477,240390.0
1478,306476.0
1479,281356.0
1480,459340.0
1481,286416.0
1482,205480.0
1483,181000.0
1484,164460.0
1485,200416.0
1486,205040.0
1487,291176.0
1488,229144.0
1489,199086.0
1490,243280.0
1491,198388.0
1492,99836.0
1493,200150.0
1494,279940.0
1495,262376.0
1496,238972.0
1497,184696.0
1498,161124.0
1499,176228.0
1500,162352.0
1501,206624.0
1502,150128.0
1503,274802.0
1504,238336.0
1505,224328.0
1506,189368.0
1507,251976.0
1508,203676.0
1509,164672.0
1510,145328.0
1511,157624.0
1512,177624.0
1513,152892.0
1514,146166.0
1515,225308.0
1516,179008.0
1517,183272.0
1518,128696.0
1519,226480.0
1520,129412.0
1521,126528.0
1522,204936.0
1523,109136.0
1524,118564.0
1525,121956.0
1526,105186.0
1527,115038.0
1528,143924.0
1529,150076.0
1530,209812.0
1531,134470.0
1532,106738.0
1533,148476.0
1534,128234.0
1535,150540.0
1536,110840.0
1537,39340.0
1538,159378.0
1539,216314.0
1540,117676.0
1541,121324.0
1542,131656.0
1543,173924.0
1544,89446.0
1545,117074.0
1546,134032.0
1547,135888.0
1548,132278.0
1549,102878.0
1550,131400.0
1551,119284.0
1552,160464.0
1553,144826.0
1554,121276.0
1555,167644.0
1556,74346.0
1557,128850.0
1558,95076.0
1559,61716.0
1560,134314.0
1561,125612.0
1562,124804.0
1563,118784.0
1564,148944.0
1565,148560.0
1566,247496.0
1567,81514.0
1568,221284.0
1569,119480.0
1570,150556.0
1571,98640.0
1572,144316.0
1573,268006.0
1574,128650.0
1575,240814.0
1576,230780.0
1577,184336.0
1578,151310.0
1579,137440.0
1580,191688.0
1581,155948.0
1582,132188.0
1583,269344.0
1584,227968.0
1585,146412.0
1586,63454.0
1587,110586.0
1588,180196.0
1589,94220.0
1590,133836.0
1591,85840.0
1592,122540.0
1593,138096.0
1594,111328.0
1595,119170.0
1596,218504.0
1597,166640.0
1598,202112.0
1599,204076.0
1600,177104.0
1601,36898.0
1602,116680.0
1603,76036.0
1604,275160.0
1605,243608.0
1606,156592.0
1607,165792.0
1608,215416.0
1609,194894.0
1610,154496.0
1611,131216.0
1612,187244.0
1613,167936.0
1614,146204.0
1615,72912.0
1616,47344.0
1617,72376.0
1618,116928.0
1619,156876.0
1620,180904.0
1621,137416.0
1622,151404.0
1623,277960.0
1624,210908.0
1625,114548.0
1626,178280.0
1627,183272.0
1628,284584.0
1629,185016.0
1630,304492.0
1631,203372.0
1632,214968.0
1633,190088.0
1634,194664.0
1635,177648.0
1636,153576.0
1637,193790.0
1638,203266.0
1639,192460.0
1640,255668.0
1641,189804.0
1642,252588.0
1643,223040.0
1644,233764.0
1645,223028.0
1646,157808.0
1647,157936.0
1648,126824.0
1649,135388.0
1650,115926.0
1651,115304.0
1652,103192.0
1653,103732.0
1654,141860.0
1655,144720.0
1656,138044.0
1657,145340.0
1658,145692.0
1659,119352.0
1660,163964.0
1661,423700.0
1662,365738.0
1663,377032.0
1664,465524.0
1665,334452.0
1666,307664.0
1667,334076.0
1668,352292.0
1669,306044.0
1670,355412.0
1671,245984.0
1672,381484.0
1673,270344.0
1674,242488.0
1675,194316.0
1676,198396.0
1677,207624.0
1678,438882.0
1679,360748.0
1680,342554.0
1681,296404.0
1682,297312.0
1683,190096.0
1684,186824.0
1685,183700.0
1686,174020.0
1687,181696.0
1688,197320.0
1689,202984.0
1690,200872.0
1691,191968.0
1692,274824.0
1693,184900.0
1694,181552.0
1695,178432.0
1696,266544.0
1697,180100.0
1698,307288.0
1699,294272.0
1700,248056.0
1701,258752.0
1702,240696.0
1703,236312.0
1704,264812.0
1705,247100.0
1706,421028.0
1707,232470.0
1708,199152.0
1709,250460.0
1710,221872.0
1711,266416.0
1712,251598.0
1713,274100.0
1714,229132.0
1715,207160.0
1716,187872.0
1717,185728.0
1718,141536.0
1719,225368.0
1720,226236.0
1721,180128.0
1722,130864.0
1723,160968.0
1724,212350.0
1725,236992.0
1726,187496.0
1727,153040.0
1728,196204.0
1729,156980.0
1730,167156.0
1731,122308.0
1732,130120.0
1733,107384.0
1734,105900.0
1735,134032.0
1736,107060.0
1737,275832.0
1738,237040.0
1739,262744.0
1740,217478.0
1741,194952.0
1742,185600.0
1743,183384.0
1744,366936.0
1745,230484.0
1746,230570.0
1747,222060.0
1748,248372.0
1749,158448.0
1750,143770.0
1751,251400.0
1752,118724.0
1753,150680.0
1754,196966.0
1755,176904.0
1756,132720.0
1757,117576.0
1758,154192.0
1759,162596.0
1760,158324.0
1761,155278.0
1762,194080.0
1763,187112.0
1764,118332.0
1765,181032.0
1766,191232.0
1767,224400.0
1768,150744.0
1769,176288.0
1770,163848.0
1771,128178.0
1772,137916.0
1773,119376.0
1774,152592.0
1775,142256.0
1776,140976.0
1777,107272.0
1778,147824.0
1779,117460.0
1780,182120.0
1781,124968.0
1782,75992.0
1783,136100.0
1784,107002.0
1785,151106.0
1786,165340.0
1787,189144.0
1788,80238.0
1789,111022.0
1790,56072.0
1791,212552.0
1792,167128.0
1793,151068.0
1794,169080.0
1795,132432.0
1796,151668.0
1797,131622.0
1798,129952.0
1799,104720.0
1800,139484.0
1801,128040.0
1802,147046.0
1803,166192.0
1804,115424.0
1805,146728.0
1806,128062.0
1807,148558.0
1808,124974.0
1809,126342.0
1810,138224.0
1811,130118.0
1812,111426.0
1813,130008.0
1814,91650.0
1815,37954.0
1816,113088.0
1817,106738.0
1818,181080.0
1819,150170.0
1820,31958.0
1821,135260.0
1822,152828.0
1823,22744.0
1824,155792.0
1825,146446.0
1826,100560.0
1827,88718.0
1828,124816.0
1829,134338.0
1830,147968.0
1831,150922.0
1832,30646.0
1833,146728.0
1834,107216.0
1835,109830.0
1836,145028.0
1837,67376.0
1838,115788.0
1839,102104.0
1840,150718.0
1841,140902.0
1842,89362.0
1843,119014.0
1844,153924.0
1845,150976.0
1846,136100.0
1847,179656.0
1848,11178.0
1849,129256.0
1850,123544.0
1851,148504.0
1852,133986.0
1853,140904.0
1854,176276.0
1855,154688.0
1856,224124.0
1857,147506.0
1858,159390.0
1859,119822.0
1860,152762.0
1861,118398.0
1862,301224.0
1863,299712.0
1864,299728.0
1865,377842.0
1866,371268.0
1867,227852.0
